General.EstateTypeKey,General.ReferenceNumber,General.DistributionTypeKey,General.ConstructionYear,General.LivingSpace,Tealium.object_locationid,Tealium.object_address_is_visible,Tealium.object_zip,Tealium.object_currency,Tealium.object_features,Tealium.object_objektart_sub,Tealium.expose_type,Tealium.broker_guid,Tealium.object_count_photos,LocalRatings.scores.local_amenities,LocalRatings.scores.mobility,MetaBadges,Price.AdditionalInformation.Commission.CommissionType,EstateAddress.City,EstateAddress.ZipCode,EstateAddress.Street,Offerer.addressGuid,Offerer.globalUserId,Offerer.contactData.companyName,Project.Address.PostCode,Project.Address.Street,Project.Address.HouseNumber,Latitude,Longitude,Stadtteil,Stadt,PRICE,ROOMS,PRICE_COMMONCHARGE,EnergyType,Class,Value,CATEGORY,FLOOR,USAGE,SUITABILITY,CONDITION,HOUSECONDITION,PARKINGSLOT,ENERGY,BUILDINGTYPE,HEATING,ELEVATOR,EQUIPMENTS
WOHNUNG,a087R00001Fa8hpQAB,ZUM_KAUF,2025.0,67.21,493485,False,90429,EUR,"['Neubau', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'FERN', 'Fußbodenheizung', 'DSL', 'PARKETT', 'FLIESEN', 'KFW55', 'offene Küche', 'Tiefgarage', 'Haustiere erlaubt', 'Loggia', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,42969,7.0,6.5,9.0,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,,3F086D3C166F4B5CBA23A36936B29B0D,42969,BPD Immobilienentwicklung GmbH,90429,Adolf-Braun-Straße ,,49.46166,11.03136,Muggenhof,Nürnberg,420000.0,2.0,,,,,,1. Geschoss,,,Erstbezug,Neubau,Tiefgarage,Fernwärme,KfW 55,Fußbodenheizung,Personenaufzug,
WOHNUNG,a087R00001FaCbxQAF,ZUM_KAUF,2025.0,123.8,493485,False,90429,EUR,"['Neubau', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'Erdgeschoss', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'FERN', 'Fußbodenheizung', 'DSL', 'Garten', 'PARKETT', 'FLIESEN', 'KFW55', 'offene Küche', 'Tiefgarage', 'Haustiere erlaubt', 'Terrasse', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,42969,7.0,6.5,9.0,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,,3F086D3C166F4B5CBA23A36936B29B0D,42969,BPD Immobilienentwicklung GmbH,90429,Adolf-Braun-Straße ,,49.46166,11.03136,Muggenhof,Nürnberg,785000.0,5.0,,,,,,Erdgeschoss,,,Erstbezug,Neubau,Tiefgarage,Fernwärme,KfW 55,Fußbodenheizung,Personenaufzug,
WOHNUNG,a087R00001Fa8eaQAB,ZUM_KAUF,2025.0,39.99,493485,False,90429,EUR,"['Neubau', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'FERN', 'Fußbodenheizung', 'DSL', 'PARKETT', 'FLIESEN', 'KFW55', 'offene Küche', 'Tiefgarage', 'Haustiere erlaubt', 'Loggia', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,42969,7.0,6.5,9.0,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,,3F086D3C166F4B5CBA23A36936B29B0D,42969,BPD Immobilienentwicklung GmbH,90429,Adolf-Braun-Straße ,,49.46166,11.03136,Muggenhof,Nürnberg,255000.0,1.5,,,,,,1. Geschoss,,,Erstbezug,Neubau,Tiefgarage,Fernwärme,KfW 55,Fußbodenheizung,Personenaufzug,
WOHNUNG,187 (2/187),ZUM_KAUF,1967.0,73.0,493493,True,90471,EUR,"['WANNE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'GEPFLEGT', 'kontrollierte Be- und Entlüftungsanlage', 'FERN', 'Zentralheizung', 'TEPPICH', 'LAMINAT', 'KUNSTSTOFF', 'abstellraum', 'Einbauküche', 'REINIGUNG', 'wasch_trockenraum', 'Loggia', 'kable_sat_tv', 'Kunststofffenster']",wohnung,standard,2517682,10.0,3.6,9.0,[],COMMISSION_REQUIRED,Nürnberg,90471,Neuselsbrunn 31,A8E98D826C61478EBCA91EEE2E03F303,2517682,Aktiva Immobilien &a; Management GmbH,,,,49.41476,11.11488,Neuselsbrunn,Nürnberg,225000.0,3.0,660.0,UNDEFINED,DE_ENV2014_CLASS_E,133.0,,1. Geschoss,,,gepflegt,,,Fernwärme,,Zentralheizung,Personenaufzug,
WOHNUNG,,ZUM_KAUF,1958.0,74.0,493529,False,90419,EUR,"['GAS', 'Zentralheizung']",wohnung,standard,3325409,7.0,7.9,9.5,[],COMMISSION_REQUIRED,Nürnberg,90419,,CA4ACC6A7CE14BFD93A02E7C6696C428,3325409,immo-point-24 GmbH,,,,49.46145,11.06072,St Johannis,Nürnberg,259000.0,3.0,,,,,,4. Geschoss,,,,,,Gas,,Zentralheizung,,
WOHNUNG,a087R00001FaCW3QAN,ZUM_KAUF,2025.0,99.55,493485,False,90429,EUR,"['Neubau', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'kontrollierte Be- und Entlüftungsanlage', 'FERN', 'Fußbodenheizung', 'DSL', 'PARKETT', 'FLIESEN', 'KFW55', 'offene Küche', 'Tiefgarage', 'Haustiere erlaubt', 'Loggia', 'Kunststofffenster', 'provisionsfrei']",wohnung,project,42969,7.0,6.5,9.0,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,,3F086D3C166F4B5CBA23A36936B29B0D,42969,BPD Immobilienentwicklung GmbH,90429,Adolf-Braun-Straße ,,49.46166,11.03136,Muggenhof,Nürnberg,580000.0,3.5,,,,,,1. Geschoss,,,Erstbezug,Neubau,Tiefgarage,Fernwärme,KfW 55,Fußbodenheizung,Personenaufzug,
WOHNUNG,009/G4/E13,ZUM_KAUF,2025.0,73.64,493410,True,90427,EUR,"['Neubau', 'WANNE', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'PELLET', 'Fußbodenheizung', 'Zentralheizung', 'PARKETT', 'FLIESEN', 'KFW55', 'abstellraum', 'offene Küche', 'Tiefgarage', 'Terrasse', 'provisionsfrei']",PENTHOUSE,project,4821481,10.0,5.8,5.9,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90427,Erich-Ollenhauer-Straße 39,69C9B07CBE7147ED868C55D3368C8261,4821481,Instone Real Estate Development GmbH Niederlassung Bayern Nord,90427,Erich-Ollenhauer-Straße,39,49.51703,11.02298,Boxdorf,Nürnberg,499000.0,2.0,,,,,Penthouse,,,,Erstbezug,Neubau,Tiefgarage,Pellets,KfW 55,"Fußbodenheizung, Zentralheizung",Personenaufzug,
WOHNUNG,009/G8/E4,ZUM_KAUF,2025.0,110.34,493410,True,90427,EUR,"['Neubau', 'WANNE', 'gaestewc', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'Erdgeschoss', 'ERSTBEZUG', 'PELLET', 'Fußbodenheizung', 'Zentralheizung', 'Garten', 'PARKETT', 'FLIESEN', 'KFW55', 'abstellraum', 'offene Küche', 'Tiefgarage', 'Terrasse', 'provisionsfrei']",TERRASSEN,project,4821481,10.0,5.8,5.9,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90427,Erich-Ollenhauer-Straße 39,69C9B07CBE7147ED868C55D3368C8261,4821481,Instone Real Estate Development GmbH Niederlassung Bayern Nord,90427,Erich-Ollenhauer-Straße,39,49.51703,11.02298,Boxdorf,Nürnberg,749000.0,4.0,,,,,Terrassenwohnung,Erdgeschoss,,,Erstbezug,Neubau,Tiefgarage,Pellets,KfW 55,"Fußbodenheizung, Zentralheizung",Personenaufzug,
WOHNUNG,,ZUM_KAUF,1959.0,75.0,493560,False,90471,EUR,"['WANNE', 'Kelleranteil', 'GEPFLEGT', 'GRANIT', 'PARKETT', 'Balkon']",Apartment,standard,4732977,18.0,3.4,8.1,[],COMMISSION_REQUIRED,Nürnberg,90471,,055959A6188E4D208E0A5A8D28F2D92C,4732977,MC Immobilien	,,,,49.41416,11.10365,Zollhaus,Nürnberg,319000.0,3.0,178.0,,,,Apartment,3. Geschoss,,,gepflegt,,,,,,,
WOHNUNG,009/G7/E12,ZUM_KAUF,2025.0,105.27,493410,True,90427,EUR,"['Neubau', 'WANNE', 'gaestewc', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'ERSTBEZUG', 'PELLET', 'Fußbodenheizung', 'Zentralheizung', 'PARKETT', 'FLIESEN', 'KFW55', 'abstellraum', 'offene Küche', 'Tiefgarage', 'Balkon', 'provisionsfrei']",wohnung,project,4821481,10.0,5.8,5.9,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90427,Erich-Ollenhauer-Straße 39,69C9B07CBE7147ED868C55D3368C8261,4821481,Instone Real Estate Development GmbH Niederlassung Bayern Nord,90427,Erich-Ollenhauer-Straße,39,49.51703,11.02298,Boxdorf,Nürnberg,689000.0,4.0,,,,,,2. Geschoss,,,Erstbezug,Neubau,Tiefgarage,Pellets,KfW 55,"Fußbodenheizung, Zentralheizung",Personenaufzug,
WOHNUNG,V02,ZUM_KAUF,1921.0,67.5,493434,True,90429,EUR,"['DUSCHE', 'FENSTER', 'Kelleranteil', 'GEPFLEGT', 'GAS', 'Zentralheizung', 'DSL', 'LAMINAT', 'FLIESEN', 'Kapitalanlage', 'kable_sat_tv', 'Kunststofffenster', 'provisionsfrei']",wohnung,standard,66332,31.0,6.8,9.5,"[{'label': 'Provisionsfrei', 'highlight': True}]",COMMISSION_FREE,Nürnberg,90429,Denisstr.  27,45AD374B027B4AE79ACE665C32394360,66332,Immofreiheit,,,,49.45044,11.05372,Gostenhof,Nürnberg,226900.0,3.0,282.0,,,,,3. Geschoss,,,gepflegt,,,Gas,,Zentralheizung,,
WOHNUNG,427,ZUM_KAUF,2019.0,28.25,493485,False,90429,EUR,"['Kelleranteil', 'NEUWERTIG', 'FERN', 'Zentralheizung', 'teilweise möbliert', 'offene Küche', 'Tiefgarage']",Apartment,standard,20566,7.0,8.8,9.4,[],COMMISSION_DEFAULT,Nürnberg / Innenstadtgürtel West/Nord/Ost,90429,,87501BCA08FA4107B1DB72937C9C6627,20566,de Rossi Immobilien,,,,49.46166,11.03136,Muggenhof,Nürnberg,178000.0,1.0,,UNDEFINED,DE_ENV2014_CLASS_A,45.0,Apartment,,,,,,Tiefgarage,Fernwärme,,Zentralheizung,,"teilweise möbliert, neuwertig"
WOHNUNG,5154,ZUM_KAUF,1958.0,73.6,493560,False,90471,EUR,"['WANNE', 'Bad/WC getrennt', 'FERN', 'Balkon']",wohnung,standard,20435,12.0,4.0,8.5,[],COMMISSION_REQUIRED,Nürnberg,90471,,7EC60F70A4D6408DBFD13397EE14A212,20435,EURAG GmbH,,,,49.41416,11.10365,Zollhaus,Nürnberg,249000.0,3.0,,,,,,2. Geschoss,,,,,,Fernwärme,,,,
WOHNUNG,20222,ZUM_KAUF,1950.0,44.0,493548,False,90441,EUR,"['GEPFLEGT', 'GAS', 'Zentralheizung', 'vermietet', 'kable_sat_tv']",wohnung,standard,7919220,7.0,6.0,9.4,[],COMMISSION_DEFAULT,Nürnberg / Südwestliche Außenstadt,90441,,3EAC86786FD946DD8AFA3C53E66559B8,7919220,Wiltz Immobilien,,,,49.42039,11.05991,Werderau,Nürnberg,149500.0,2.0,105.28,UNDEFINED,DE_ENV2014_CLASS_E,145.6,,2. Geschoss,vermietet,,gepflegt,,,Gas,,Zentralheizung,,
WOHNUNG,,ZUM_KAUF,1965.0,90.0,493422,False,90408,EUR,"['WANNE', 'DUSCHE', 'FENSTER', 'Kelleranteil', 'Personenaufzug', 'renoviert', 'GAS', 'Etagenheizung', 'DSL', 'LAMINAT', 'FLIESEN', 'Kapitalanlage', 'vermietet', 'Einbauküche', 'wg_geeignet', 'kable_sat_tv', 'Balkon', 'Kunststofffenster']",wohnung,standard,69034,11.0,8.6,9.7,[],COMMISSION_REQUIRED,Nürnberg,90408,,108be8c2260f49af834c57cea63f1d7c,69034,Der Immoberater,,,,49.46293,11.07721,Gärten h d Veste,Nürnberg,360000.0,3.0,251.0,,,,,1. Geschoss,vermietet,WG-geeignet,renoviert / saniert,,,Gas,,Etagenheizung,Personenaufzug,
WOHNUNG,,ZUM_KAUF,1967.0,88.38,493417,True,90491,EUR,"['WANNE', 'FENSTER', 'Kelleranteil', 'OEL', 'frei', 'abstellraum', 'wasch_trockenraum', 'kable_sat_tv', 'Balkon', 'Terrasse', 'Holzfenster']",wohnung,standard,15115,,2.5,7.8,[],COMMISSION_REQUIRED,Nürnberg,90491,Mörikestrasse,47E87ABB564209439A4129FFD4046C66,15115,Immobilien Sperl e. K.,,,,49.47441,11.13785,Erlenstegen,Nürnberg,343000.0,3.0,429.0,,,,,Erdgeschoss,frei,,,,,Öl,,,,
WOHNUNG,19,ZUM_KAUF,2002.0,110.0,493439,False,90431,EUR,"['barriefrei', 'WANNE', 'gaestewc', 'DUSCHE', 'Kelleranteil', 'Erdgeschoss', 'GAS', 'Etagenheizung', 'teilweise möbliert', 'Garten', 'MARMOR', 'als Ferienimmobilie geeignet', 'Einbauküche', 'offene Küche', 'Tiefgarage', 'REINIGUNG', 'Balkon', 'Terrasse', 'Kunststofffenster']",MAISONETTE,standard,971913,15.0,4.2,9.0,[],COMMISSION_DEFAULT,Nürnberg,90431,,7A6772EC2ED04ECDB54835CC6E87711A,971913,Bavaria Immobilien 24 GmbH,,,,49.43638,11.02739,Großreuth b Schweinau,Nürnberg,550000.0,3.0,,,,,Maisonette,Erdgeschoss,,"barrierefrei, als Ferienimmobilie geeignet",,,Tiefgarage,Gas,,Etagenheizung,,teilweise möbliert
