location,Northeast,Northwest,Southeast,Southwest,energyEfficiency,energyEfficiency,price,price,constructionYear,constructionYear,livingSpace,livingSpace,energySources,energySources,photosCount,photosCount,localAmenitiesScore,localAmenitiesScore,localMobilityScore,localMobilityScore,latitudeDistrict,latitudeDistrict,longitudeDistrict,longitudeDistrict,distanceToCenter,distanceToCenter,district,district,rooms,rooms,energyClass,energyClass,elevator,elevator,sauna,sauna,swimmingpool,swimmingpool,kitchenEqipped,kitchenEqipped,cellar,cellar,storageRoom,storageRoom,wheelchairAccessible,wheelchairAccessible,assistedLiving,assistedLiving,parkingSlots,parkingSlots,guestToilet,guestToilet,privateOutdoorSpace,privateOutdoorSpace,chimney,chimney,attics,attics
4,0,0,0,1,0,0,295000.0,295000.0,1953.0,1953.0,80.0,80.0,3.0,3.0,8.0,8.0,7.7,7.7,9.7,9.7,49.42749,49.42749,11.07581,11.07581,2.7372674442391345,2.7372674442391345,Gibitzenhof,Gibitzenhof,3.0,3.0,7,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,799000.0,799000.0,1974.0,1974.0,169.0,169.0,3.0,3.0,11.0,11.0,7.5,7.5,9.7,9.7,49.46468,49.46468,11.08784,11.08784,1.614009123287336,1.614009123287336,Maxfeld,Maxfeld,4.0,4.0,5,5,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
4,0,0,0,1,0,0,185000.0,185000.0,1955.0,1955.0,43.0,43.0,2.0,2.0,6.0,6.0,7.0,7.0,9.6,9.6,49.42828,49.42828,11.04444,11.04444,3.5293151524875523,3.5293151524875523,Schweinau,Schweinau,2.0,2.0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,0,0,1,0,0,0,209000.0,209000.0,1967.0,1967.0,65.0,65.0,2.0,2.0,9.0,9.0,4.6,4.6,8.7,8.7,49.41476,49.41476,11.11488,11.11488,4.986186977513444,4.986186977513444,Neuselsbrunn,Neuselsbrunn,3.0,3.0,6,6,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,582100.0,582100.0,2022.0,2022.0,92.4,92.4,5.0,5.0,44.0,44.0,5.9,5.9,9.4,9.4,49.42828,49.42828,11.04444,11.04444,3.5293151524875523,3.5293151524875523,Schweinau,Schweinau,4.0,4.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
4,0,0,0,1,1,1,529600.0,529600.0,2022.0,2022.0,85.09,85.09,1.0,1.0,4.0,4.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,0,0,0,1,1,1,619537.0,619537.0,2022.0,2022.0,99.54,99.54,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,0,0,0,1,0,0,550000.0,550000.0,1960.0,1960.0,118.0,118.0,2.0,2.0,47.0,47.0,8.6,8.6,9.7,9.7,49.45136,49.45136,11.06303,11.06303,0.9915783203453478,0.9915783203453478,Rosenau,Rosenau,4.0,4.0,5,5,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
4,0,0,0,1,1,1,427350.0,427350.0,2023.0,2023.0,64.75,64.75,2.0,2.0,22.0,22.0,7.6,7.6,9.6,9.6,49.43896,49.43896,11.04878,11.04878,2.491818130940929,2.491818130940929,St Leonhard,St Leonhard,2.0,2.0,2,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,598700.0,598700.0,2022.0,2022.0,96.56,96.56,5.0,5.0,47.0,47.0,5.9,5.9,9.4,9.4,49.42828,49.42828,11.04444,11.04444,3.5293151524875523,3.5293151524875523,Schweinau,Schweinau,3.0,3.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
1,1,0,0,0,0,0,229000.0,229000.0,1961.0,1961.0,63.0,63.0,1.0,1.0,40.0,40.0,5.4,5.4,7.1,7.1,49.46879,49.46879,11.16706,11.16706,6.789231555040641,6.789231555040641,Laufamholz,Laufamholz,2.0,2.0,5,5,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0
4,0,0,0,1,1,1,577235.0,577235.0,2022.0,2022.0,88.86,88.86,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0
4,0,0,0,1,1,1,250000.0,250000.0,2018.0,2018.0,58.0,58.0,1.0,1.0,9.0,9.0,7.6,7.6,9.7,9.7,49.43188,49.43188,11.07654,11.07654,2.248394282048917,2.248394282048917,Rabus,Rabus,2.0,2.0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
3,0,0,1,0,0,0,169000.0,169000.0,1950.0,1950.0,51.0,51.0,1.0,1.0,13.0,13.0,8.7,8.7,9.7,9.7,49.44398,49.44398,11.09165,11.09165,1.408294025223907,1.408294025223907,Glockenhof,Glockenhof,2.0,2.0,7,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,343154.0,343154.0,2022.0,2022.0,50.68,50.68,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,1.0,1.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,401251.0,401251.0,2022.0,2022.0,58.65,58.65,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,2.0,2.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
3,0,0,1,0,0,0,249000.0,249000.0,1971.0,1971.0,66.0,66.0,3.0,3.0,9.0,9.0,6.8,6.8,9.6,9.6,49.44267,49.44267,11.12304,11.12304,3.510327221993633,3.510327221993633,Zerzabelshof,Zerzabelshof,2.0,2.0,5,5,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,460038.0,460038.0,2022.0,2022.0,69.95,69.95,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,2.0,2.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,0,0,375000.0,375000.0,1961.0,1961.0,88.59,88.59,1.0,1.0,10.0,10.0,8.5,8.5,9.7,9.7,49.46145,49.46145,11.06072,11.06072,1.5540259940496581,1.5540259940496581,St Johannis,St Johannis,3.0,3.0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2,0,1,0,0,0,0,640000.0,640000.0,1929.0,1929.0,174.0,174.0,1.0,1.0,15.0,15.0,8.4,8.4,9.7,9.7,49.46145,49.46145,11.06072,11.06072,1.5540259940496581,1.5540259940496581,St Johannis,St Johannis,5.0,5.0,6,6,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
4,0,0,0,1,1,1,556666.0,556666.0,2022.0,2022.0,88.08,88.08,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,0,0,0,1,1,1,471627.0,471627.0,2022.0,2022.0,70.18,70.18,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,2.0,2.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
1,1,0,0,0,0,0,139000.0,139000.0,1960.0,1960.0,43.0,43.0,4.0,4.0,15.0,15.0,8.8,8.8,9.7,9.7,49.46231,49.46231,11.09839,11.09839,1.9356297017134596,1.9356297017134596,Rennweg,Rennweg,2.0,2.0,4,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
4,0,0,0,1,1,1,655100.0,655100.0,2022.0,2022.0,105.66,105.66,5.0,5.0,45.0,45.0,5.9,5.9,9.4,9.4,49.42828,49.42828,11.04444,11.04444,3.5293151524875523,3.5293151524875523,Schweinau,Schweinau,3.5,3.5,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
4,0,0,0,1,1,1,504875.0,504875.0,2022.0,2022.0,78.69,78.69,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,0,0,0,1,1,1,410017.0,410017.0,2022.0,2022.0,60.54,60.54,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,2.0,2.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4,0,0,0,1,1,1,451316.0,451316.0,2022.0,2022.0,69.81,69.81,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,2.0,2.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,90000.0,90000.0,1999.0,1999.0,40.0,40.0,4.0,4.0,23.0,23.0,5.2,5.2,9.3,9.3,49.4576,49.4576,11.13188,11.13188,4.035137406290032,4.035137406290032,Mögeldorf,Mögeldorf,1.5,1.5,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,449256.0,449256.0,2022.0,2022.0,68.79,68.79,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,2.0,2.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,0,0,0,1,1,1,495028.0,495028.0,2022.0,2022.0,73.73,73.73,1.0,1.0,5.0,5.0,8.3,8.3,9.7,9.7,49.45044,49.45044,11.05372,11.05372,1.6713862397161467,1.6713862397161467,Gostenhof,Gostenhof,2.0,2.0,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
4,0,0,0,1,1,1,598700.0,598700.0,2022.0,2022.0,96.56,96.56,5.0,5.0,45.0,45.0,5.9,5.9,9.4,9.4,49.42828,49.42828,11.04444,11.04444,3.5293151524875523,3.5293151524875523,Schweinau,Schweinau,3.0,3.0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
1,1,0,0,0,0,0,219000.0,219000.0,1968.0,1968.0,49.0,49.0,3.0,3.0,21.0,21.0,7.5,7.5,9.6,9.6,49.46869,49.46869,11.10224,11.10224,2.6096488719043096,2.6096488719043096,Schoppershof,Schoppershof,1.0,1.0,5,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1
3,0,0,1,0,0,0,239000.0,239000.0,1967.0,1967.0,67.78,67.78,2.0,2.0,15.0,15.0,2.5,2.5,6.8,6.8,49.42483,49.42483,11.12159,11.12159,4.441864589779111,4.441864589779111,Stadion,Stadion,3.0,3.0,6,6,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
1,1,0,0,0,1,1,399000.0,399000.0,1985.0,1985.0,92.0,92.0,2.0,2.0,5.0,5.0,5.7,5.7,9.3,9.3,49.46221,49.46221,11.12067,11.12067,3.3710608981827215,3.3710608981827215,St Jobst,St Jobst,3.5,3.5,3,3,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0
4,0,0,0,1,0,0,169000.0,169000.0,1909.0,1909.0,57.0,57.0,1.0,1.0,17.0,17.0,7.5,7.5,9.5,9.5,49.43896,49.43896,11.04878,11.04878,2.491818130940929,2.491818130940929,St Leonhard,St Leonhard,3.0,3.0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
4,0,0,0,1,0,0,350000.0,350000.0,1957.0,1957.0,101.84,101.84,1.0,1.0,23.0,23.0,7.6,7.6,9.7,9.7,49.43929,49.43929,11.07396,11.07396,1.4381169948042094,1.4381169948042094,Steinbühl,Steinbühl,4.0,4.0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,525000.0,525000.0,2013.0,2013.0,90.0,90.0,2.0,2.0,12.0,12.0,8.7,8.7,9.7,9.7,49.46468,49.46468,11.08784,11.08784,1.614009123287336,1.614009123287336,Maxfeld,Maxfeld,3.0,3.0,3,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
3,0,0,1,0,1,1,299000.0,299000.0,1991.0,1991.0,66.0,66.0,2.0,2.0,6.0,6.0,5.6,5.6,9.4,9.4,49.44673,49.44673,11.11364,11.11364,2.7363398346084034,2.7363398346084034,Weichselgarten,Weichselgarten,2.0,2.0,3,3,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0
1,1,0,0,0,0,0,149000.0,149000.0,1960.0,1960.0,39.0,39.0,1.0,1.0,6.0,6.0,7.9,7.9,9.7,9.7,49.46231,49.46231,11.09839,11.09839,1.9356297017134596,1.9356297017134596,Rennweg,Rennweg,1.5,1.5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,1,445700.0,445700.0,2023.0,2023.0,89.15,89.15,6.0,6.0,20.0,20.0,6.6,6.6,9.0,9.0,49.4685,49.4685,11.11889,11.11889,3.552939363275519,3.552939363275519,Steinplatte,Steinplatte,3.0,3.0,3,3,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
2,0,1,0,0,0,0,279000.0,279000.0,1988.0,1988.0,59.0,59.0,1.0,1.0,12.0,12.0,4.8,4.8,8.7,8.7,49.4772,49.4772,11.06313,11.06313,2.9582726757265996,2.9582726757265996,Thon,Thon,2.0,2.0,5,5,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0
